Data;28763 - Estoque de empregos formais - Total - Unidades;28764 - Estoque de empregos formais - Agropecuária - Unidades;28765 - Estoque de empregos formais - Indústrias extrativas - Unidades;28766 - Estoque de empregos formais - Indústrias de transformação - Unidades;28767 - Estoque de empregos formais - SIUP - Unidades;28768 - Estoque de empregos formais - Eletricidade e gás - Unidades;28769 - Estoque de empregos formais - Água, esgoto, atividades de gestão de resíduos e descontaminação - Unidades;28770 - Estoque de empregos formais - Construção - Unidades;28771 - Estoque de empregos formais - Comércio - Unidades;28772 - Estoque de empregos formais - Serviços - Unidades;28773 - Estoque de empregos formais - Transporte, armazenamento e correio - Unidades;28774 - Estoque de empregos formais - Alojamento e alimentação - Unidades;28775 - Estoque de empregos formais - Informação e comunicação - Unidades;28776 - Estoque de empregos formais - Atividades financeiras e seguros - Unidades
09/2016;37590636;1536792;218262;6908527;453726;122602;331124;2181708;8612400;17679214;2388345;1821410;847239;812293
10/2016;37511871;1524243;216934;6904688;451898;122818;329080;2144922;8626607;17642572;2379673;1820504;843285;810733
11/2016;37393837;1498074;214861;6854005;448936;122813;326123;2090665;8685852;17601437;2369799;1827617;842943;809043
12/2016;36915730;1448402;211809;6726475;446392;122511;323881;1999951;8665654;17417040;2344914;1828222;839852;799135
01/2017;36884655;1459834;211884;6746304;447481;122766;324715;2000806;8605173;17413166;2332953;1827260;842374;798972
02/2017;36934284;1466441;211283;6749969;448885;123059;325826;1988264;8586885;17482550;2336172;1827659;843300;797693
03/2017;36876690;1463456;210686;6748425;448596;122781;325815;1979068;8553736;17472716;2336353;1812778;842410;793309
04/2017;36951072;1479668;211057;6761899;449490;123083;326407;1978643;8561915;17508393;2342620;1813606;843645;793119
05/2017;36995917;1528317;210559;6763278;449188;122526;326662;1974896;8553103;17516568;2341358;1811113;842970;793579
06/2017;37012768;1567009;210326;6756494;448630;122584;326046;1965124;8551801;17513376;2337182;1811294;843447;793764
07/2017;37063549;1575534;210195;6771098;447460;122588;324872;1967245;8565338;17526671;2338260;1812292;846137;795714
08/2017;37112991;1563954;210327;6785314;447210;122278;324932;1969663;8579791;17556724;2339800;1814227;845991;792910
09/2017;37162274;1555777;210420;6812788;446014;122322;323692;1970727;8598870;17567670;2340464;1818651;846519;791947
10/2017;37249199;1552750;210071;6847387;445346;122047;323299;1966249;8640205;17587183;2344613;1822749;847323;792139
11/2017;37244398;1528637;208886;6820028;444454;121447;323007;1942093;8712437;17587855;2346015;1828162;849098;793404
12/2017;36903767;1482667;206474;6711699;442681;119799;322882;1883823;8717963;17458452;2329302;1832958;846498;793010
01/2018;36994834;1498716;206042;6760732;444341;119935;324406;1902154;8673354;17509487;2324344;1838930;851776;796249
02/2018;37071865;1495730;206528;6774672;445472;120080;325392;1898928;8650707;17599820;2328697;1836910;852909;796867
03/2018;37146983;1478526;206774;6784674;446067;120004;326063;1907756;8650855;17672323;2339834;1833404;855951;797175
04/2018;37278443;1482328;207441;6807587;447083;120223;326860;1925277;8664203;17744516;2353573;1835290;861151;799176
05/2018;37321505;1513688;207437;6801432;447637;120205;327432;1928936;8654503;17767864;2353761;1829209;864506;800872
06/2018;37329902;1556786;207300;6781978;450361;120281;330080;1927276;8634573;17771620;2355254;1823390;865676;803174
07/2018;37388047;1575471;207929;6789569;452109;120769;331340;1939595;8636077;17787289;2358279;1817446;869655;805966
08/2018;37511791;1573359;208450;6805887;453574;120996;332578;1953226;8656782;17860505;2366255;1821248;875559;808163
09/2018;37662797;1571940;208749;6843977;454924;121422;333502;1966657;8687574;17928968;2372286;1830264;882461;812068
10/2018;37729402;1559058;209282;6851371;455085;121731;333354;1967182;8723568;17963848;2376172;1837517;881684;814007
11/2018;37792570;1534615;208747;6826487;454114;121773;332341;1951908;8815640;18001051;2379612;1849323;883536;815836
12/2018;37450212;1484898;207512;6712940;452870;120635;332235;1895226;8834082;17862676;2360130;1853125;882304;813803
01/2019;37494878;1493485;207747;6749691;453290;120369;332921;1912846;8769871;17907940;2359072;1852418;885803;815907
02/2019;37687381;1492145;208741;6778527;454754;119679;335075;1925845;8779996;18047365;2370783;1864255;888307;818590
03/2019;37648769;1482446;209152;6775437;454047;119633;334414;1919216;8751800;18056663;2377889;1850257;890714;818586
04/2019;37785153;1498208;209743;6794793;454743;119639;335104;1935826;8767047;18124785;2386202;1853638;895576;821246
05/2019;37825827;1537423;210271;6787168;454558;119556;335002;1945491;8757007;18133901;2381640;1852129;896907;822821
06/2019;37885357;1562498;210824;6776443;460521;119357;341164;1959172;8755435;18160456;2384573;1852710;899477;825767
07/2019;37936982;1567992;211826;6783953;461008;119386;341622;1980069;8760916;18171210;2383310;1853020;904195;828565
08/2019;38064813;1564877;213328;6802390;460974;119312;341662;1998288;8787536;18237412;2388501;1859516;907325;831683
09/2019;38226847;1569192;214407;6842813;460698;119410;341288;2016764;8817543;18305422;2394773;1870308;911895;831349
10/2019;38301005;1561131;215265;6851825;459826;119321;340505;2023636;8863251;18326063;2399349;1874861;916031;829832
11/2019;38401602;1541353;215400;6826176;460399;119474;340925;2015398;8972633;18370235;2400860;1890360;918489;829336
12/2019;38094291;1497937;214041;6726143;459673;118176;341497;1965936;8990481;18240072;2385988;1897149;916061;827990
01/2020;38206325;1514414;214085;6784021;460015;117789;342226;2001785;8938736;18293261;2384063;1901515;921195;829885
